Time (s),Temperature (K),Rate (s-1),Extent
4.806480648064806616e+01,3.050162016201620077e+02,3.324713287667742472e-06,9.019013932949778399e-05
4.824482448244824440e+01,3.050612061206120416e+02,3.340220326324792719e-06,9.078864757210223634e-05
4.842484248424842264e+01,3.051062106210621323e+02,3.355795079071559629e-06,9.138994736081956837e-05
4.860486048604860798e+01,3.051512151215121662e+02,3.371437820742827989e-06,9.199405088540492609e-05
4.878487848784878622e+01,3.051962196219622001e+02,3.387148827200641273e-06,9.260097038508859578e-05
4.896489648964896446e+01,3.052412241224122340e+02,3.402928375337744832e-06,9.321071814876107726e-05
4.914491449144914270e+01,3.052862286228622679e+02,3.418776743080976147e-06,9.382330651515850958e-05
4.932493249324932094e+01,3.053312331233123587e+02,3.434694209394971015e-06,9.443874787304886917e-05
4.950495049504950629e+01,3.053762376237623926e+02,3.450681054285450889e-06,9.505705466141881857e-05
4.968496849684968453e+01,3.054212421242124265e+02,3.466737558802997254e-06,9.567823936966101588e-05
4.986498649864986277e+01,3.054662466246624604e+02,3.482864005046442304e-06,9.630231453776235935e-05
5.004500450045004811e+01,3.055112511251124943e+02,3.499060676166438755e-06,9.692929275649261151e-05
5.022502250225022635e+01,3.055562556255625850e+02,3.515327856369101248e-06,9.755918666759367370e-05
5.040504050405040459e+01,3.056012601260126189e+02,3.531665830919482567e-06,9.819200896396974160e-05
5.058505850585058283e+01,3.056462646264626528e+02,3.548074886145195128e-06,9.882777238987782667e-05
5.076507650765076107e+01,3.056912691269126867e+02,3.564555309440081177e-06,9.946648974111907719e-05
5.094509450945094642e+01,3.057362736273627206e+02,3.581107389267686467e-06,1.001081738652307226e-04
5.112511251125112466e+01,3.057812781278127545e+02,3.597731415165021090e-06,1.007528376616785467e-04
5.130513051305130290e+01,3.058262826282628453e+02,3.614427677746110233e-06,1.014004940820502820e-04
5.148514851485148824e+01,3.058712871287128792e+02,3.631196468705564002e-06,1.020511561302494245e-04
5.166516651665166648e+01,3.059162916291629131e+02,3.648038080822406435e-06,1.027048368626896582e-04
5.184518451845184472e+01,3.059612961296129470e+02,3.664952807963573322e-06,1.033615493884902691e-04
